id,brand,descriptions,features,manufacturer,name,prices.amount,condition,,,,,
AVpfHrJ6ilAPnD_xVXOI,Josmo,"[{""dateSeen"":[""2016-11-07T00:45:12Z""],""sourceURLs"":[""https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Specifications- Color Navy- Size Wide- Size 75- Dimensions 3'' H x 275'' W x 575'' L- Weight 05 lbs SKU: JSMS082""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Shoe Size"",""value"":[""M""]},{""key"":""Shoe Category"",""value"":[""Men's Shoes""]},{""key"":""Color"",""value"":[""Multicolor""]},{""key"":""Manufacturer Part Number"",""value"":[""8190-W-NAVY-7.5""]},{""key"":""Brand"",""value"":[""Josmo""]}]",,Josmo 8190 Plain Infant Walking Shoes, Navy - Wide - Size 7. 5,39.89,,,,,
AVpfHrJ6ilAPnD_xVXOI,Josmo,"[{""dateSeen"":[""2016-11-07T00:45:12Z""],""sourceURLs"":[""https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Specifications- Color Navy- Size Wide- Size 75- Dimensions 3'' H x 275'' W x 575'' L- Weight 05 lbs SKU: JSMS082""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Shoe Size"",""value"":[""M""]},{""key"":""Shoe Category"",""value"":[""Men's Shoes""]},{""key"":""Color"",""value"":[""Multicolor""]},{""key"":""Manufacturer Part Number"",""value"":[""8190-W-NAVY-7.5""]},{""key"":""Brand"",""value"":[""Josmo""]}]",,Josmo 8190 Plain Infant Walking Shoes, Navy - Wide - Size 7. 5,51.99,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,febr.40,new,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,50.31,new,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,46.26,new,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,55.99,new,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,dec.41,new,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,46.19,new,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,21.4,new,,,,,
AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,Servus By Honeywell Shoe Studs Zsr101blmlg,45.23,new,,,,,
